Time,Heat_index_C,Heat_index_F
2:34 AM, Heat index: 37.12 *C, 98.82 *F
2:34 AM, Heat index: 37.12 *C, 98.82 *F
2:34 AM, Heat index: 37.15 *C, 98.87 *F
2:34 AM, Heat index: 37.18 *C, 98.92 *F
2:34 AM, Heat index: 37.18 *C, 98.92 *F
2:34 AM, Heat index: 37.18 *C, 98.92 *F
2:34 AM, Heat index: 37.21 *C, 98.97 *F
2:34 AM, Heat index: 37.24 *C, 99.03 *F
2:34 AM, Heat index: 37.26 *C, 99.08 *F
2:34 AM, Heat index: 36.96 *C, 98.53 *F
2:34 AM, Heat index: 36.99 *C, 98.58 *F
2:34 AM, Heat index: 36.99 *C, 98.58 *F
2:34 AM, Heat index: 37.02 *C, 98.63 *F
2:34 AM, Heat index: 36.99 *C, 98.58 *F
2:34 AM, Heat index: 37.02 *C, 98.63 *F
2:34 AM, Heat index: 37.02 *C, 98.63 *F
2:34 AM, Heat index: 37.05 *C, 98.68 *F
2:34 AM, Heat index: 36.74 *C, 98.14 *F
2:34 AM, Heat index: 37.05 *C, 98.68 *F
2:34 AM, Heat index: 37.05 *C, 98.68 *F
2:34 AM, Heat index: 37.05 *C, 98.68 *F
2:34 AM, Heat index: 36.80 *C, 98.24 *F
2:34 AM, Heat index: 36.83 *C, 98.29 *F
2:34 AM, Heat index: 36.80 *C, 98.24 *F
2:34 AM, Heat index: 36.83 *C, 98.29 *F
2:34 AM, Heat index: 36.83 *C, 98.29 *F
2:34 AM, Heat index: 36.83 *C, 98.29 *F
2:34 AM, Heat index: 36.83 *C, 98.29 *F
2:34 AM, Heat index: 36.83 *C, 98.29 *F
2:34 AM, Heat index: 36.85 *C, 98.34 *F
2:34 AM, Heat index: 36.85 *C, 98.34 *F
2:34 AM, Heat index: 36.88 *C, 98.39 *F
2:34 AM, Heat index: 36.61 *C, 97.89 *F
2:34 AM, Heat index: 36.91 *C, 98.44 *F
2:34 AM, Heat index: 36.61 *C, 97.89 *F
2:34 AM, Heat index: 36.61 *C, 97.89 *F
2:34 AM, Heat index: 36.63 *C, 97.94 *F
2:34 AM, Heat index: 36.63 *C, 97.94 *F
2:34 AM, Heat index: 36.63 *C, 97.94 *F
2:34 AM, Heat index: 36.63 *C, 97.94 *F
2:34 AM, Heat index: 36.63 *C, 97.94 *F
2:34 AM, Heat index: 36.66 *C, 97.99 *F
2:34 AM, Heat index: 36.69 *C, 98.04 *F
2:34 AM, Heat index: 36.69 *C, 98.04 *F
2:34 AM, Heat index: 36.69 *C, 98.04 *F
2:34 AM, Heat index: 36.72 *C, 98.09 *F
2:34 AM, Heat index: 36.72 *C, 98.09 *F
2:34 AM, Heat index: 36.74 *C, 98.14 *F
2:34 AM, Heat index: 36.44 *C, 97.59 *F
2:34 AM, Heat index: 36.74 *C, 98.14 *F
2:34 AM, Heat index: 36.44 *C, 97.59 *F
2:34 AM, Heat index: 36.77 *C, 98.19 *F
2:34 AM, Heat index: 36.47 *C, 97.64 *F
2:34 AM, Heat index: 36.77 *C, 98.19 *F
2:34 AM, Heat index: 36.47 *C, 97.64 *F
2:34 AM, Heat index: 36.47 *C, 97.64 *F
2:34 AM, Heat index: 36.47 *C, 97.64 *F
2:34 AM, Heat index: 36.41 *C, 97.55 *F
2:34 AM, Heat index: 36.41 *C, 97.55 *F
2:35 AM, Heat index: 36.72 *C, 98.09 *F
2:35 AM, Heat index: 36.72 *C, 98.09 *F
2:35 AM, Heat index: 36.41 *C, 97.55 *F
2:35 AM, Heat index: 36.72 *C, 98.09 *F
2:35 AM, Heat index: 36.72 *C, 98.09 *F
2:35 AM, Heat index: 36.39 *C, 97.50 *F
2:35 AM, Heat index: 36.41 *C, 97.55 *F
2:35 AM, Heat index: 36.41 *C, 97.55 *F
2:35 AM, Heat index: 36.36 *C, 97.45 *F
2:35 AM, Heat index: 36.39 *C, 97.50 *F
2:35 AM, Heat index: 36.36 *C, 97.45 *F
2:35 AM, Heat index: 36.31 *C, 97.35 *F
2:35 AM, Heat index: 36.52 *C, 97.75 *F
2:35 AM, Heat index: 36.47 *C, 97.65 *F
2:35 AM, Heat index: 36.39 *C, 97.50 *F
2:35 AM, Heat index: 36.44 *C, 97.60 *F
2:35 AM, Heat index: 36.44 *C, 97.60 *F
2:35 AM, Heat index: 36.47 *C, 97.65 *F
2:35 AM, Heat index: 36.44 *C, 97.60 *F
2:35 AM, Heat index: 36.44 *C, 97.60 *F
2:35 AM, Heat index: 36.44 *C, 97.60 *F
2:35 AM, Heat index: 36.44 *C, 97.60 *F
2:35 AM, Heat index: 36.74 *C, 98.14 *F
2:35 AM, Heat index: 37.50 *C, 99.49 *F
2:35 AM, Heat index: 37.78 *C, 100.01 *F
2:35 AM, Heat index: 37.96 *C, 100.33 *F
2:35 AM, Heat index: 38.70 *C, 101.66 *F
2:35 AM, Heat index: 38.87 *C, 101.97 *F
2:35 AM, Heat index: 40.15 *C, 104.28 *F
2:35 AM, Heat index: 39.78 *C, 103.60 *F
2:35 AM, Heat index: 39.61 *C, 103.29 *F
2:35 AM, Heat index: 39.37 *C, 102.87 *F
2:35 AM, Heat index: 39.21 *C, 102.57 *F
2:35 AM, Heat index: 39.08 *C, 102.34 *F
2:35 AM, Heat index: 39.04 *C, 102.28 *F
2:35 AM, Heat index: 39.01 *C, 102.22 *F
2:35 AM, Heat index: 38.88 *C, 101.99 *F
2:35 AM, Heat index: 38.95 *C, 102.10 *F
2:35 AM, Heat index: 38.85 *C, 101.93 *F
2:35 AM, Heat index: 38.46 *C, 101.23 *F
2:35 AM, Heat index: 38.21 *C, 100.78 *F
2:35 AM, Heat index: 38.18 *C, 100.73 *F
2:35 AM, Heat index: 38.15 *C, 100.67 *F
2:35 AM, Heat index: 38.49 *C, 101.29 *F
2:35 AM, Heat index: 38.46 *C, 101.23 *F
2:35 AM, Heat index: 42.57 *C, 108.62 *F
2:35 AM, Heat index: 42.24 *C, 108.03 *F
2:35 AM, Heat index: 41.93 *C, 107.48 *F
2:35 AM, Heat index: 42.36 *C, 108.25 *F
2:35 AM, Heat index: 43.34 *C, 110.01 *F
2:35 AM, Heat index: 44.03 *C, 111.26 *F
2:35 AM, Heat index: 43.73 *C, 110.71 *F
2:35 AM, Heat index: 45.90 *C, 114.63 *F
2:35 AM, Heat index: 44.12 *C, 111.42 *F
2:35 AM, Heat index: 43.60 *C, 110.48 *F
2:35 AM, Heat index: 43.43 *C, 110.17 *F
2:35 AM, Heat index: 43.08 *C, 109.55 *F
2:35 AM, Heat index: 42.52 *C, 108.54 *F
2:35 AM, Heat index: 42.56 *C, 108.62 *F
2:35 AM, Heat index: 42.48 *C, 108.47 *F
2:36 AM, Heat index: 42.06 *C, 107.70 *F
2:36 AM, Heat index: 41.98 *C, 107.56 *F
2:36 AM, Heat index: 41.74 *C, 107.12 *F
2:36 AM, Heat index: 41.36 *C, 106.45 *F
2:36 AM, Heat index: 40.92 *C, 105.65 *F
2:36 AM, Heat index: 40.99 *C, 105.79 *F
2:36 AM, Heat index: 40.63 *C, 105.14 *F
2:36 AM, Heat index: 40.59 *C, 105.07 *F
2:36 AM, Heat index: 40.28 *C, 104.50 *F
2:36 AM, Heat index: 40.28 *C, 104.50 *F
2:36 AM, Heat index: 40.28 *C, 104.50 *F
2:36 AM, Heat index: 39.96 *C, 103.93 *F
2:36 AM, Heat index: 39.92 *C, 103.86 *F
2:36 AM, Heat index: 39.61 *C, 103.30 *F
2:36 AM, Heat index: 39.65 *C, 103.37 *F
2:36 AM, Heat index: 39.68 *C, 103.43 *F
2:36 AM, Heat index: 39.24 *C, 102.62 *F
2:36 AM, Heat index: 39.34 *C, 102.81 *F
2:36 AM, Heat index: 39.37 *C, 102.87 *F
2:36 AM, Heat index: 38.93 *C, 102.08 *F
2:36 AM, Heat index: 38.83 *C, 101.90 *F
2:36 AM, Heat index: 38.86 *C, 101.96 *F
2:36 AM, Heat index: 38.57 *C, 101.42 *F
2:36 AM, Heat index: 38.63 *C, 101.54 *F
2:36 AM, Heat index: 38.67 *C, 101.60 *F
2:36 AM, Heat index: 38.40 *C, 101.13 *F
2:36 AM, Heat index: 38.53 *C, 101.36 *F
2:36 AM, Heat index: 38.57 *C, 101.42 *F
2:36 AM, Heat index: 38.57 *C, 101.42 *F
2:36 AM, Heat index: 38.30 *C, 100.94 *F
2:36 AM, Heat index: 38.33 *C, 101.00 *F
2:36 AM, Heat index: 38.40 *C, 101.12 *F
2:36 AM, Heat index: 38.07 *C, 100.53 *F
2:36 AM, Heat index: 38.04 *C, 100.47 *F
2:36 AM, Heat index: 38.04 *C, 100.47 *F
2:36 AM, Heat index: 38.01 *C, 100.42 *F
2:36 AM, Heat index: 38.07 *C, 100.53 *F
2:36 AM, Heat index: 38.01 *C, 100.42 *F
2:36 AM, Heat index: 37.78 *C, 100.01 *F
2:36 AM, Heat index: 37.87 *C, 100.17 *F
2:36 AM, Heat index: 37.91 *C, 100.23 *F
2:36 AM, Heat index: 37.94 *C, 100.29 *F
2:36 AM, Heat index: 37.68 *C, 99.82 *F
2:36 AM, Heat index: 37.74 *C, 99.93 *F
2:36 AM, Heat index: 37.80 *C, 100.04 *F
2:36 AM, Heat index: 37.86 *C, 100.15 *F
2:36 AM, Heat index: 37.60 *C, 99.68 *F
2:36 AM, Heat index: 37.66 *C, 99.79 *F
2:36 AM, Heat index: 37.69 *C, 99.85 *F
2:36 AM, Heat index: 37.79 *C, 100.02 *F
2:36 AM, Heat index: 37.79 *C, 100.02 *F
2:36 AM, Heat index: 37.82 *C, 100.07 *F
2:36 AM, Heat index: 37.58 *C, 99.65 *F
2:36 AM, Heat index: 37.61 *C, 99.71 *F
2:36 AM, Heat index: 37.65 *C, 99.76 *F
2:36 AM, Heat index: 37.68 *C, 99.82 *F
2:36 AM, Heat index: 37.44 *C, 99.40 *F
2:36 AM, Heat index: 37.50 *C, 99.51 *F
2:36 AM, Heat index: 37.53 *C, 99.56 *F
2:36 AM, Heat index: 37.59 *C, 99.67 *F
2:37 AM, Heat index: 37.33 *C, 99.19 *F
2:37 AM, Heat index: 37.42 *C, 99.35 *F
2:37 AM, Heat index: 37.45 *C, 99.41 *F
2:37 AM, Heat index: 37.48 *C, 99.46 *F
