Time,Normal_mq135
8:34 AM,507 PPM
8:34 AM,508 PPM
8:34 AM,508 PPM
8:34 AM,508 PPM
8:34 AM,508 PPM
8:34 AM,508 PPM
8:34 AM,508 PPM
8:34 AM,508 PPM
8:34 AM,508 PPM
8:34 AM,508 PPM
8:34 AM,508 PPM
8:34 AM,508 PPM
8:34 AM,508 PPM
8:34 AM,508 PPM
8:34 AM,507 PPM
8:34 AM,507 PPM
8:34 AM,507 PPM
8:34 AM,507 PPM
8:34 AM,506 PPM
8:34 AM,506 PPM
8:34 AM,506 PPM
8:34 AM,505 PPM
8:34 AM,505 PPM
8:34 AM,505 PPM
8:34 AM,504 PPM
8:34 AM,504 PPM
8:34 AM,504 PPM
8:34 AM,503 PPM
8:34 AM,503 PPM
8:34 AM,503 PPM
8:34 AM,502 PPM
8:34 AM,502 PPM
8:34 AM,501 PPM
8:34 AM,501 PPM
8:34 AM,501 PPM
8:34 AM,500 PPM
8:34 AM,500 PPM
8:34 AM,499 PPM
8:34 AM,499 PPM
8:34 AM,498 PPM
8:34 AM,498 PPM
8:34 AM,497 PPM
8:34 AM,497 PPM
8:34 AM,496 PPM
8:34 AM,496 PPM
8:34 AM,496 PPM
8:34 AM,495 PPM
8:34 AM,495 PPM
8:34 AM,494 PPM
8:34 AM,494 PPM
8:34 AM,493 PPM
8:34 AM,493 PPM
8:34 AM,493 PPM
8:34 AM,492 PPM
8:34 AM,492 PPM
8:34 AM,492 PPM
8:34 AM,491 PPM
8:34 AM,491 PPM
8:34 AM,490 PPM
8:35 AM,490 PPM
