Time,Air_Quality_with_smoke
8:34 AM,474 PPM
8:34 AM,470 PPM
8:34 AM,466 PPM
8:34 AM,463 PPM
8:34 AM,461 PPM
8:34 AM,459 PPM
8:34 AM,458 PPM
8:34 AM,457 PPM
8:34 AM,457 PPM
8:34 AM,456 PPM
8:34 AM,454 PPM
8:34 AM,452 PPM
8:34 AM,450 PPM
8:34 AM,449 PPM
8:34 AM,449 PPM
8:34 AM,448 PPM
8:34 AM,447 PPM
8:34 AM,446 PPM
8:34 AM,445 PPM
8:34 AM,444 PPM
8:34 AM,445 PPM
8:34 AM,570 PPM
8:34 AM,628 PPM
8:34 AM,617 PPM
8:34 AM,590 PPM
8:34 AM,579 PPM
8:34 AM,618 PPM
8:34 AM,585 PPM
8:34 AM,574 PPM
8:34 AM,603 PPM
8:34 AM,563 PPM
8:34 AM,526 PPM
8:34 AM,508 PPM
8:34 AM,496 PPM
8:34 AM,489 PPM
8:34 AM,486 PPM
8:34 AM,585 PPM
8:34 AM,612 PPM
8:34 AM,608 PPM
8:34 AM,616 PPM
8:34 AM,627 PPM
8:34 AM,586 PPM
8:34 AM,557 PPM
8:34 AM,601 PPM
8:34 AM,598 PPM
8:34 AM,576 PPM
8:34 AM,578 PPM
8:34 AM,611 PPM
8:34 AM,612 PPM
8:34 AM,604 PPM
8:34 AM,604 PPM
8:34 AM,615 PPM
8:34 AM,573 PPM
8:34 AM,568 PPM
8:34 AM,587 PPM
8:34 AM,592 PPM
8:34 AM,548 PPM
8:34 AM,521 PPM
8:34 AM,509 PPM
8:35 AM,498 PPM
8:35 AM,486 PPM
8:35 AM,498 PPM
8:35 AM,578 PPM
8:35 AM,576 PPM
8:35 AM,587 PPM
8:35 AM,605 PPM
8:35 AM,594 PPM
8:35 AM,587 PPM
8:35 AM,586 PPM
8:35 AM,598 PPM
8:35 AM,571 PPM
8:35 AM,595 PPM
8:35 AM,595 PPM
8:35 AM,580 PPM
8:35 AM,595 PPM
8:35 AM,566 PPM
8:35 AM,553 PPM
8:35 AM,529 PPM
8:35 AM,516 PPM
8:35 AM,496 PPM
8:35 AM,486 PPM
8:35 AM,478 PPM
8:35 AM,541 PPM
8:35 AM,547 PPM
8:35 AM,601 PPM
8:35 AM,576 PPM
8:35 AM,561 PPM
8:35 AM,509 PPM
8:35 AM,490 PPM
8:35 AM,478 PPM
8:35 AM,472 PPM
8:35 AM,498 PPM
8:35 AM,546 PPM
8:35 AM,502 PPM
8:35 AM,483 PPM
8:35 AM,514 PPM
8:35 AM,489 PPM
8:35 AM,493 PPM
8:35 AM,508 PPM
8:35 AM,524 PPM
8:35 AM,551 PPM
8:35 AM,589 PPM
8:35 AM,592 PPM
8:35 AM,595 PPM
8:35 AM,572 PPM
8:35 AM,559 PPM
8:35 AM,563 PPM
8:35 AM,566 PPM
8:35 AM,561 PPM
8:35 AM,565 PPM
8:35 AM,573 PPM
8:35 AM,519 PPM
8:35 AM,492 PPM
8:35 AM,505 PPM
8:35 AM,530 PPM
8:35 AM,575 PPM
8:35 AM,592 PPM
8:35 AM,580 PPM
8:35 AM,533 PPM
8:36 AM,521 PPM
8:36 AM,542 PPM
8:36 AM,578 PPM
8:36 AM,595 PPM
8:36 AM,603 PPM
8:36 AM,604 PPM
8:36 AM,607 PPM
8:36 AM,604 PPM
8:36 AM,600 PPM
8:36 AM,587 PPM
8:36 AM,572 PPM
8:36 AM,589 PPM
8:36 AM,596 PPM
8:36 AM,567 PPM
8:36 AM,535 PPM
8:36 AM,495 PPM
8:36 AM,478 PPM
8:36 AM,469 PPM
8:36 AM,466 PPM
8:36 AM,461 PPM
8:36 AM,450 PPM
8:36 AM,446 PPM
8:36 AM,450 PPM
8:36 AM,494 PPM
8:36 AM,575 PPM
8:36 AM,577 PPM
8:36 AM,581 PPM
8:36 AM,595 PPM
8:36 AM,587 PPM
8:36 AM,549 PPM
8:36 AM,496 PPM
8:36 AM,552 PPM
8:36 AM,585 PPM
8:36 AM,592 PPM
8:36 AM,587 PPM
8:36 AM,577 PPM
8:36 AM,576 PPM
8:36 AM,566 PPM
8:36 AM,583 PPM
8:36 AM,584 PPM
8:36 AM,564 PPM
8:36 AM,534 PPM
8:36 AM,529 PPM
8:36 AM,533 PPM
8:36 AM,532 PPM
8:36 AM,512 PPM
8:36 AM,521 PPM
8:36 AM,521 PPM
8:36 AM,465 PPM
8:36 AM,446 PPM
8:36 AM,437 PPM
8:36 AM,467 PPM
8:36 AM,506 PPM
8:36 AM,539 PPM
8:36 AM,533 PPM
8:36 AM,568 PPM
8:36 AM,567 PPM
8:36 AM,480 PPM
8:36 AM,446 PPM
8:36 AM,430 PPM
8:37 AM,417 PPM
8:37 AM,407 PPM
8:37 AM,401 PPM
8:37 AM,395 PPM
8:37 AM,391 PPM
8:37 AM,388 PPM
8:37 AM,384 PPM
8:37 AM,380 PPM
8:37 AM,378 PPM
8:37 AM,376 PPM
8:37 AM,373 PPM
8:37 AM,371 PPM
8:37 AM,368 PPM
8:37 AM,365 PPM
8:37 AM,363 PPM
8:37 AM,361 PPM
8:37 AM,360 PPM
8:37 AM,367 PPM
8:37 AM,364 PPM
8:37 AM,361 PPM
8:37 AM,503 PPM
8:37 AM,527 PPM
8:37 AM,535 PPM
8:37 AM,540 PPM
8:37 AM,550 PPM
8:37 AM,559 PPM
8:37 AM,550 PPM
8:37 AM,535 PPM
8:37 AM,528 PPM
8:37 AM,493 PPM
8:37 AM,532 PPM
8:37 AM,532 PPM
8:37 AM,545 PPM
8:37 AM,506 PPM
8:37 AM,487 PPM
8:37 AM,434 PPM
8:37 AM,417 PPM
8:37 AM,410 PPM
8:37 AM,414 PPM
8:37 AM,497 PPM
8:37 AM,433 PPM
8:37 AM,410 PPM
8:37 AM,398 PPM
8:37 AM,388 PPM
8:37 AM,381 PPM
8:37 AM,375 PPM
8:37 AM,370 PPM
8:37 AM,365 PPM
8:37 AM,361 PPM
8:37 AM,358 PPM
8:37 AM,355 PPM
8:37 AM,352 PPM
8:37 AM,349 PPM
8:37 AM,347 PPM
8:37 AM,345 PPM
